PURE RECEIPT AGAINST PURCHASE DETAILS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Receipt No.,Supp Inv No,Supp Inv Date,Receipt Date,Creation Date,Receipt Qty,Org Name,Subinventory,BOE Date,SGST,CGST,IGST,SGST %,CGST %,IGST %,HSN Code,Rcpt Amt,Tax Amt,Rcpt Total,Vendor Name,Vendor No,Vendor Site,Vendor State,Vendor GST Number,Po Number,Po Date,Lot Number,Currency Code,Currency Rate,Rate Date,Po Term Days,Item Code,Item Description,Division,Product,Category,Sub-Category,UOM,Purchase Category,Po Unit Price,Po Quantity,Approved Date,Duties per Unit,Transporter Name,Wo Order No,Invoice Number,Invoice Accounted Status,GRN Created By,Claim Status
2257,,16-Oct-25,16-Oct-25,16-Oct-25,1,PPC - Gummudipoondi,Return,,0,0,0,0,0,0,34029099,77.06039,0,77.06039,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC-COIMBATORE,Tamil Nadu,33AACCP3026E1Z0,107207,08-Sep-25,3392_5-FEB-2025,INR,1,,IMMEDIATE,MVMPCBTHDD405003,VOOKI LUXURY HANDWASH TROPICAL BREEZE [GEL] 405ML,NPD,Vooki Division,Vooki Premium,Home and Office Care,EA,,77.06039,2,08-Sep-25,,,,,,"GOWTHAM B ,",GST Claim NA
12164,PS26TKT-IN915,22-Sep-25,13-Oct-25,13-Oct-25,210,PPC - Sonipat,SHED A,,0,0,5943.299292,0,0,18,34031900,33018.3294,5943.299292,38961.62869,PON PURE SPECIALITY CHEMICAL PRIVATE LIMITED,25742,PST - Thervoyka,Tamil Nadu,33AALCP9560E1Z8,108176,22-Sep-25,100846-PPS25090899,INR,1,,IMMEDIATE,MLUPHDBR00210748,PURIT CS 430 PLUS,Performance Chemicals,LMA Division,PURIT,MWF,L,,157.23014,210,22-Sep-25,,,PPC-DEL-25-26-0502,PS26TKT-IN915-724-70548,Accounted,"Prasanth Radhakrishnan,",Recovered
1135,,06-Oct-25,06-Oct-25,06-Oct-25,8,PPC - Puzhal,SHED A,,0,0,0,0,0,0,34029099,7035.14472,0,7035.14472,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC-MADHAVARAM,Tamil Nadu,33AACCP3026E1Z0,108191,22-Sep-25,90538-POI250110002,INR,1,,IMMEDIATE,MVMPCCB20D500011,VOOKI FLOOR+SURFACE CLEANER 20 X 500ML,NPD,Vooki Division,Vooki Premium,Home and Office Care,BOX,,879.39309,17,22-Sep-25,,,,,,"GOWTHAM B ,",GST Claim NA
3843,CC26TPP-IN1221,25-Sep-25,07-Oct-25,07-Oct-25,23.89,PPC - Ranipet,SHED A,,1465.585091,1465.585091,0,9,9,0,32041650,16284.27878,2931.170181,19215.44897,COLOR CHEMICALS,11727,CCC - Tiruppur,Tamil Nadu,33AAAFC6130F1Z4,108474,25-Sep-25,0080784500-12-09-2024,INR,1,,IMMEDIATE,TTTDCTBX00025285,AVITERA NIGHT STORM SE,Performance Chemicals,Textile & Paper Division,Textile,Textile Dye,KG,,681.63578,25,25-Sep-25,,,,CC26TPP-IN1221-103-70696,Accounted,"Prasanth Radhakrishnan,",Recovered
1104,CL26TPP-IN383,27-Sep-25,08-Oct-25,08-Oct-25,0.35,PPC - Salem,SHED A,,2.50540101,2.50540101,0,9,9,0,38099190,27.837789,5.01080202,32.84859102,COLOR CHEMICALS AND DYES LLP,11728,CCL - TRPR-PP,Tamil Nadu,33AAJFC8404B1ZY,108563,27-Sep-25,93750PPS25030356,INR,1,,IMMEDIATE,MTFCHDCB00050038,PURESOFT HDA LIQ,Performance Chemicals,Textile & Paper Division,Textile Pure,Finishing Chemical,KG,,79.53654,5,27-Sep-25,,,,CL26TPP-IN383-104-70737,Accounted,"Ramesh Anandhan,",Recovered
10091,PS26TKT-IN945,27-Sep-25,03-Oct-25,03-Oct-25,1680,PPC - Malur,SHED A Opn,,0,0,27054.50933,0,0,18,34031900,150302.8296,27054.50933,177357.3389,PON PURE SPECIALITY CHEMICAL PRIVATE LIMITED,25742,PST - Thervoyka,Tamil Nadu,33AALCP9560E1Z8,108578,27-Sep-25,100565-PPS25080893,INR,1,,IMMEDIATE,MLUPHDBR00210288,PURIT CM 305,Performance Chemicals,LMA Division,PURIT,MWF,L,,89.46597,1680,27-Sep-25,,,PPC-MAL-25-26-0671,PS26TKT-IN945-724-70746,Accounted,"GOWTHAM B ,",Recovered
30550,,06-Oct-25,06-Oct-25,06-Oct-25,175,PPC - Madhavaram,SHED L,,0,0,0,0,0,0,29181400,11546.94625,0,11546.94625,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC-REDHILLS,Tamil Nadu,33AACCP3026E1Z0,108579,27-Sep-25,184185,INR,1,,IMMEDIATE,TIIBGX025CTAM003,CITRIC ACID MONOHYDRATE BP 98 MESH 8-40,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,,65.98255,4425,27-Sep-25,,,22579,,,"Dinesh R,",GST Claim NA
8409,PP26BHW-IN4033,27-Sep-25,08-Oct-25,08-Oct-25,200,PPC - Irugur,SHED B,,0,0,46673.07372,0,0,18,29339990,259294.854,46673.07372,305967.9277,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC - Bhw New,Maharashtra,,108587,27-Sep-25,194258,INR,1,,IMMEDIATE,TCELPLPL00020063,EVERSORB EP 1,Performance Chemicals,PNC Division,Paints & Coatings,Everlight,KG,,1296.47427,200,27-Sep-25,,,,,,"Gnanavelan. A,",Recovered
10158,PC26ILT-IN1526,30-Sep-25,09-Oct-25,09-Oct-25,5,PPC - Bhiwandi New,SHED A1,,0,0,420.400989,0,0,18,35079010,2335.56105,420.400989,2755.962039,PURE CHEMICALS CO,26279,PCT - Illalor T,Tamil Nadu,33AAYFP5219Q1ZC,108726,30-Sep-25,100814_TCPCNE2501_22-08-2025,INR,1,,IMMEDIATE,MTENHDCB00030002,PURONAL CELLSOFT NBZ CONC,Performance Chemicals,Textile & Paper Division,Textile Pure,Enzymes,KG,,467.11221,5,30-Sep-25,,,,PC26ILT-IN1526-844-70826,Accounted,"Prasanth Radhakrishnan,",Recovered
7715,PC26PZM-IN51,03-Oct-25,03-Oct-25,03-Oct-25,2035,POI - Alathur MFG,SHED A,,20545.34942,20545.34942,0,9,9,0,29094300,228281.6602,41090.69884,269372.359,,,,,,12585,03-Oct-25,PPC-MAD-25-26-1120,INR,1,,IMMEDIATE,TDRMSU18500EB005,BUTYL CELLOSOLVE,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,,112.17772,2035,03-Oct-25,,,,,,"Jaganathan.B,",Recovered
17093,PC26MVT-IN5783,03-Oct-25,07-Oct-25,07-Oct-25,50,PPC - Bonthapally(HYD),SHED A,,0,0,56683.45647,0,0,18,29309060,314908.0915,56683.45647,371591.548,PURE CHEMICALS CO,26279,PCT - MADHAVARA,Tamil Nadu,33AAYFP5219Q1ZC,108773,03-Oct-25,REH0270925,INR,1,,IMMEDIATE,MLPBTGLD003-3500,DIMETHYL SULPHOXIDE LR 25L,NPD,Lab Division,Lab Chemicals,LR,EA,,6298.16183,50,03-Oct-25,,,,PC26MVT-IN5783-844-70893,Accounted,"Prasanth Radhakrishnan,",Recovered
760,PP26DVN-AZ2536,03-Oct-25,04-Oct-25,04-Oct-25,1,PPC - Durainallur,SHED A,,0,0,22.1516496,0,0,18,34029099,123.06472,22.1516496,145.2163696,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC - Deva - AZ,Karnataka,,108784,03-Oct-25,COMBO-30-05-2025,INR,1,,IMMEDIATE,MVMPCCP02D500025,"VOOKI ECOFRIENDLY TOILET CLEANER LIQUID AND DISINFECTANT FLOOR & SURFACE CLEANER, 500 ML EACH, (COMBO PACK OF 2)",NPD,Vooki Division,Vooki Premium,Home and Office Care,BOX,,123.06472,1,03-Oct-25,,,,,,"Manikandan.S,",Recovered
