item_code,item_name_clean,item_desc_original,uom,unit_size_ml,pack_qty,pack_type,units_per_box,item_group_clean,item_group_original,alt_item_groups,duplicate_rows_in_source,division
MVMPCBULK0000228,VOOKI SHINE LOCK BRASS & COPPER CLEANER,VOOKI SHINE LOCK BRASS & COPPER CLEANER,L,,1,BULK,,Brass Cleaner,BRASS CLEANER - NPD,,1,NPD
MVMPCHDBR0200208,VOOKI SHINE LOCK BRASS & COPPER CLEANER 200 LITERS,VOOKI SHINE LOCK BRASS & COPPER CLEANER 200 LITERS,EA,200000.0,1,SINGLE_UNIT,,Brass Cleaner,BRASS CLEANER - NPD,,1,NPD
MVMPCCP25D250001,VOOKI SHINE LOCK BRASS & COPPER CLEANER 25 X 250ML,VOOKI SHINE LOCK BRASS & COPPER CLEANER 25 X 250ML,BOX,250.0,25,CASE,25.0,Brass Cleaner,BRASS CLEANER - NPD,,1,NPD
MVCOSDW2X4000001,CUT OUT STANDEE - DISHWASH 2FT X 4FT,CUT OUT STANDEE - DISHWASH 2FT x 4FT,EA,,1,SINGLE_UNIT,,Cut Out Standee,CUT OUT STANDEE,,1,NPD
MVMPCBTHD0005161,VOOKI SILVERLINES DISH WASH LIQUID 5LITERS,VOOKI SILVERLINES DISH WASH LIQUID 5LITERS,EA,5000.0,1,SINGLE_UNIT,,Dish Wash,DISH WASH - NPD,Silverlines Dish Wash Liquid,2,NPD
MVMPCBULKD250066,VOOKI NATURE POWERED DISH WASH,VOOKI NATURE POWERED DISH WASH,L,,1,BULK,,Dishwash,VOOKI DISHWASH - NPD,,1,NPD
MVMPCSPPL1D45002,VOOKI NATURE POWERED DISH WASH 1.45L - REFILL POUCH,VOOKI NATURE POWERED DISH WASH 1.45L - Refill Pouch,EA,1450.0,1,SINGLE_UNIT,8.0,Dishwash,VOOKI DISHWASH - NPD,,1,NPD
MVMPCCB20D500015,VOOKI NATURE POWERED DISH WASH 20 X 500ML,VOOKI NATURE POWERED DISH WASH 20 X 500ML,BOX,500.0,20,CASE,20.0,Dishwash,VOOKI DISHWASH - NPD,,1,NPD
MVMPCHDBR0200202,VOOKI NATURE POWERED DISH WASH 200 LITERS,VOOKI NATURE POWERED DISH WASH 200 LITERS,EA,200000.0,1,SINGLE_UNIT,,Dishwash,VOOKI DISHWASH - NPD,,1,NPD
MVMPCBTHDD250085,VOOKI NATURE POWERED DISH WASH 250ML,VOOKI NATURE POWERED DISH WASH 250ML,EA,250.0,1,SINGLE_UNIT,20.0,Dishwash,VOOKI DISHWASH - NPD,,1,NPD
MVMPCBTHDD500187,VOOKI NATURE POWERED DISH WASH 500ML,VOOKI NATURE POWERED DISH WASH 500ML,EA,500.0,1,SINGLE_UNIT,20.0,Dishwash,VOOKI DISHWASH - NPD,,1,NPD
