job,org,fg,cat,grp,outq,uom,lot,d,n_rm,val,file
133469,PPC - SEZ-Kandla,MGCHDN1650LLP003,General Chemicals,GC1,52800.0,KG,133469,2026-07-06,3,4573954.38,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
134132,PPC - SEZ-Kandla,TDRMSN167THNR032,General Chemicals,GC1,24549.0,KG,134132 209581-27-207914,2026-07-18,3,3726920.12,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
131530,PPM - Puzhal MFG,TDIMSN250PMDI005,General Chemicals,GC2,-10000.0,KG,131530 206440,2026-05-27,1,2964412.08,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC3.xls
157792,PPC - SEZ-Kandla,TDRMSN165THNR094,General Chemicals,GC1,23100.0,KG,157792 015,2026-07-27,10,2761911.54,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
158397,PPC - SEZ-Kandla,MGCHDN1650LLP003,General Chemicals,GC1,27269.0,KG,158397,2026-08-10,3,2367987.8,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
132333,POI - Alathur MFG,MLUPBULK00000233,Performance Chemicals,LMA Division,24914.0,L,132333 POI26061191,2026-06-11,8,2359897.6,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC3.xls
133149,PPC - SEZ-Kandla,TDRMSN165THNR094,General Chemicals,GC1,23100.0,KG,133149,2026-06-29,9,2280508.15,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
133148,PPC - SEZ-Kandla,TDRMSN165THNR013,General Chemicals,GC1,23100.0,KG,133148,2026-06-29,9,2260764.65,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
133062,PPC - SEZ-Kandla,TDRMSN200PHEN015,General Chemicals,GC1,17072.0,KG,133062,2026-06-27,3,2079644.59,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
133793,POI - Alathur MFG,MOHSHDBR00220037,Performance Chemicals,Speciality Chemicals Division,18170.0,KG,"133793 POI26071306, 133793 POI26071308, 133793 POI26071309",2026-07-13,4,2073458.8,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
132752,POI - Alathur MFG,MCPCBULK00000019,Performance Chemicals,PNC Division,6985.5,KG,132752,2026-06-22,4,1767786.47,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
134019,PPC - SEZ-Kandla,TDRMSN175THNR125,General Chemicals,GC1,9450.0,KG,134019 205758-MADHAVAN,2026-07-17,3,1628522.4,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
158437,PPC - SEZ-Kandla,TDRMSN165THNR013,General Chemicals,GC1,13200.0,KG,158437 207658-204205,2026-08-11,3,1573063.1,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
129170,PSM - Thervoykandigai MFG,MGCNAX000SPOH062,General Chemicals,GC2,3982.0,KG,129170 BJ  PPS26040445,2026-04-21,7,1558205.8800000001,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC1.xls
129828,POI - Alathur MFG,MCPCBULK00000030,Performance Chemicals,PNC Division,6927.8,KG,129828 POI26050852,2026-05-11,4,1449621.15,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC2.xls
141751,POI - Alathur MFG,MCPCBULK00000030,Performance Chemicals,PNC Division,5978.5,KG,"141751 POI26071372, 141751 POI26071426",2026-07-20,4,1376862.55,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
132544,PPC - SEZ-Kandla,TDBNAX000THNR043,General Chemicals,GC1,13200.0,KG,132544,2026-06-17,2,1372005.98,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC3.xls
133234,POI - Alathur MFG,MCPCBULK00000030,Performance Chemicals,PNC Division,5990.0,KG,"133234 POI26071369, 133234 POI26071370",2026-07-01,5,1347265.08,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
132616,POI - Alathur MFG,MCPCBULK00000031,Performance Chemicals,PNC Division,2940.0,KG,132616 POI26061202,2026-06-18,3,1316626.58,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC3.xls
131702,POI - Alathur MFG,MCPCBULK00000030,Performance Chemicals,PNC Division,5991.5,KG,131702 POI26061061,2026-05-30,5,1274753.3,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC3.xls
130985,PSM - Thervoykandigai MFG,TDBNAX000RUSO004,General Chemicals,GC1,13750.0,KG,130985 BJ PPS26050564,2026-05-15,2,1250970.54,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC2.xls
131667,PSM - Thervoykandigai MFG,MVMPCBULK0000204,NPD,Vooki Division,4838.16,L,131667 BJ PPS26050625,2026-05-29,13,1141720.92,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC3.xls
129588,PPC - SEZ-Kandla,TDBNAX000THNR100,General Chemicals,GC1,18720.0,KG,129588,2026-05-04,2,1072104.06,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC2.xls
133699,POI - Alathur MFG,MCPCBULK00000019,Performance Chemicals,PNC Division,3974.9,KG,133699,2026-07-10,3,1013958.9099999999,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
158272,PSM - Thervoykandigai MFG,MTDABULK00000225,Performance Chemicals,Textile & Paper Division,5000.0,KG,158272 BJ PPS26080956,2026-08-06,5,992089.54,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
128767,POI - Alathur MFG,MOHSBULK00000017,Performance Chemicals,Speciality Chemicals Division,4839.7,KG,128767  POI26040643,2026-04-10,2,985503.48,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC1.xls
129002,POI - Alathur MFG,MCPCBULK00000031,Performance Chemicals,PNC Division,4967.9,KG,129002 POI26040724,2026-04-17,4,944192.13,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC1.xls
133586,PSM - Thervoykandigai MFG,MGCNAX000SPOH065,General Chemicals,GC2,5977.0,KG,133586 BJ PPS26070789,2026-07-08,9,894995.37,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
133019,PSM - Thervoykandigai MFG,MGCNAX000SPOH065,General Chemicals,GC2,5991.0,KG,133019 BJ PPS26060750,2026-06-26,9,888098.35,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
129695,PSM - Thervoykandigai MFG,TDBNAX000PUSY012,General Chemicals,GC2,4620.0,KG,"129695 BJ PPS26040479, 129695 BJ PPS26040494",2026-05-06,3,887517.1399999999,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC2.xls
133483,POI - Alathur MFG,MVMPCBULKD250058,NPD,Vooki Division,14708.0,L,133483 POI26071341,2026-07-06,13,886235.84,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
129490,POI - Alathur MFG,MCPCBULK00000021,Performance Chemicals,PNC Division,4950.0,KG,"129490 POI26040683, 129490 POI26040684",2026-04-29,4,856797.24,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC2.xls
132442,POI - Alathur MFG,MCPCBULK00000030,Performance Chemicals,PNC Division,3983.5,KG,"132442 POI26061062, 132442 POI26061063",2026-06-15,4,853361.52,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC3.xls
128853,PSM - Thervoykandigai MFG,MTFCBULK00000173,Performance Chemicals,Textile & Paper Division,2200.0,KG,128853 BJ PPS26040416,2026-04-15,7,845019.6,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC1.xls
133789,POI - Alathur MFG,MOHSBULK00000017,Performance Chemicals,Speciality Chemicals Division,5990.0,KG,133789 POI26071305,2026-07-13,2,844915.26,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
133775,POI - Alathur MFG,MOHSBULK00000017,Performance Chemicals,Speciality Chemicals Division,5715.0,KG,133775 POI26071307,2026-07-13,3,814009.26,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
129363,POI - Alathur MFG,MLSCBULK00000008,Performance Chemicals,Speciality Chemicals Division,3569.0,KG,"129363 POI26040756, 129363 POI26040774",2026-04-27,6,788026.1599999999,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC2.xls
131415,PSM - Thervoykandigai MFG,MTFCBULK00000042,Performance Chemicals,Textile & Paper Division,6100.0,KG,131415 BJ PPS26050593,2026-05-25,6,764104.8999999999,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC3.xls
133447,POI - Alathur MFG,MCPCBULK00000019,Performance Chemicals,PNC Division,2989.0,KG,133447 POI26071314,2026-07-06,3,761438.37,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
133493,POI - Alathur MFG,MCPCBULK00000019,Performance Chemicals,PNC Division,2992.3,KG,133493 POI26071315,2026-07-07,3,761265.4,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
132334,POI - Alathur MFG,MCPCBULK00000019,Performance Chemicals,PNC Division,2990.0,KG,132334 POI26061153,2026-06-11,3,756021.3300000001,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC3.xls
129360,PPC - Bavla(MFG),MPPCHDBR00200078,Performance Chemicals,Textile & Paper Division,9400.0,KG,"129360 BAV 206112 26 4 01, 129360 BAV 206112 26 4 02, 129360 BAV 206226 26 04 03",2026-04-27,1,739079.76,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC2.xls
155774,POI - Alathur MFG,MRPOBULK00000044,Performance Chemicals,LMA Division,8296.4,L,155774 POI26071464,2026-07-23,7,732664.84,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
131521,PSM - Thervoykandigai MFG,MTDABULK00000225,Performance Chemicals,Textile & Paper Division,4000.0,KG,131521 BJ PPS26060652,2026-05-27,5,730248.98,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC3.xls
131733,PSM - Thervoykandigai MFG,MTDABULK00000057,Performance Chemicals,Textile & Paper Division,12000.0,KG,"131733 BJ PPS26050619, 131733 BJ PPS26050620",2026-06-01,2,718660.9700000001,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC3.xls
158173,PSM - Thervoykandigai MFG,MLUPBULK00000292,Performance Chemicals,LMA Division,1799.06,L,158173 BJ PPS26080947,2026-08-04,3,717360.39,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
131353,PSM - Thervoykandigai MFG,MCPCBULK00000141,Performance Chemicals,PNC Division,745.0,KG,131353 BJ PPS26050634,2026-05-23,2,686453.2699999999,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC2.xls
131645,PPC - SEZ-Kandla,TDRMSN170THNR114,General Chemicals,GC1,5395.0,KG,131645,2026-05-29,8,676331.28,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC3.xls
157922,PPM - Gummudipoondi MFG,MVMPCCP20D500520,NPD,Vooki Division,146.25,BOX,157922  POI26071118,2026-07-30,6,668601.3200000001,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
145750,POI - Alathur MFG,MVMPCBULK0000209,NPD,Vooki Division,1439.42,L,145750 POI26081470,2026-07-21,36,667161.54,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
133146,POI - Alathur MFG,MCPCBULK00000031,Performance Chemicals,PNC Division,2986.0,KG,133146 POI26071281,2026-06-29,3,665508.87,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
134078,PSM - Thervoykandigai MFG,MGCNAX000SPOH062,General Chemicals,GC2,4023.0,KG,134078 BJ PPS26070864,2026-07-17,8,654028.87,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
158622,POI - Alathur MFG,MCPCBULK00000210,Performance Chemicals,PNC Division,1472.2,KG,158622 POI26081574,2026-08-13,8,649786.47,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
134087,POI - Alathur MFG,MCPCBULK00000030,Performance Chemicals,PNC Division,2998.1,KG,134087 POI26071371,2026-07-18,8,629220.91,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
128230,POI - Alathur MFG,MCPCBULK00000019,Performance Chemicals,PNC Division,2987.6,KG,128230 POI26030595,2026-04-01,3,627170.51,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC1.xls
132079,POI - Alathur MFG,MOHSBULK00000017,Performance Chemicals,Speciality Chemicals Division,3975.0,KG,132079 POI26061070,2026-06-08,2,626148.23,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC3.xls
129731,POI - Alathur MFG,MCPCBULK00000030,Performance Chemicals,PNC Division,2995.0,KG,129731 POI26050849,2026-05-06,4,624381.12,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC2.xls
